"","pkg_name","reviewer","url","updated_in_12m","date_updated","vignette","comments","decision"
"235","MarketMatching","imke","https://CRAN.R-project.org/package=MarketMatching","","","","",""
"236","MARX","imke","https://CRAN.R-project.org/package=MARX","","","","",""
"237","Matching","imke","https://CRAN.R-project.org/package=Matching","","","","",""
"238","MatchIt","imke","https://CRAN.R-project.org/package=MatchIt","","","","",""
"239","MatchLinReg","imke","https://CRAN.R-project.org/package=MatchLinReg","","","","",""
"240","MatchThem","imke","https://CRAN.R-project.org/package=MatchThem","","","","",""
"241","MatrixEQTL","imke","https://CRAN.R-project.org/package=MatrixEQTL","","","","",""
"242","MBNMAdose","imke","https://CRAN.R-project.org/package=MBNMAdose","","","","",""
"243","MBNMAtime","imke","https://CRAN.R-project.org/package=MBNMAtime","","","","",""
"244","mcmcabn","imke","https://CRAN.R-project.org/package=mcmcabn","","","","",""
"245","mdmb","imke","https://CRAN.R-project.org/package=mdmb","","","","",""
"246","MDPtoolbox","imke","https://CRAN.R-project.org/package=MDPtoolbox","","","","",""
"247","mediation","imke","https://CRAN.R-project.org/package=mediation","","","","",""
"248","mediationsens","imke","https://CRAN.R-project.org/package=mediationsens","","","","",""
"249","MedSurvey","imke","https://CRAN.R-project.org/package=MedSurvey","","","","",""
"250","MendelianRandomization","imke","https://CRAN.R-project.org/package=MendelianRandomization","","","","",""
"251","metafor","imke","https://CRAN.R-project.org/package=metafor","","","","",""
"252","metarep","imke","https://CRAN.R-project.org/package=metarep","","","","",""
"253","metaRMST","imke","https://CRAN.R-project.org/package=metaRMST","","","","",""
"254","MetaStan","imke","https://CRAN.R-project.org/package=MetaStan","","","","",""
"255","microsynth","imke","https://CRAN.R-project.org/package=microsynth","","","","",""
"256","miic","imke","https://CRAN.R-project.org/package=miic","","","","",""
"257","Minirand","imke","https://CRAN.R-project.org/package=Minirand","","","","",""
"258","minMSE","imke","https://CRAN.R-project.org/package=minMSE","","","","",""
"259","MMMS","imke","https://CRAN.R-project.org/package=MMMS","","","","",""
"260","mmsample","imke","https://CRAN.R-project.org/package=mmsample","","","","",""
"261","Modalclust","imke","https://CRAN.R-project.org/package=Modalclust","","","","",""
"262","model4you","imke","https://CRAN.R-project.org/package=model4you","","","","",""
"263","mosqcontrol","imke","https://CRAN.R-project.org/package=mosqcontrol","","","","",""
"264","MPBoost","imke","https://CRAN.R-project.org/package=MPBoost","","","","",""
